Name,Guild,Ally Code,GP,Chars GP,Ships GP,Character:Ships,Light side or Dark Side,Hotutils style mod score -- higher is better, aim for 3.0.   ((# of 15-19 Speed 0.8) + (# of 20-24 Speed) + (# of 25+ Speed * 1.6)) / (squadGP / 100,000),DSR Bot style gear score -- higher is better.  Number of (>G12 + G13 + relic / 5) / total gp / 100 000.,LS Toon GP,DS Toon GP,Zetas,Omicrons,Relic Levels,GLs,7*,R5 and higher,G13 and higher,G12 and higher,G10 and higher,Jedi Knight Revan,Darth Revan,Malak,Padme,Genosian Brood Alpha,Wat Tambor,Ki-Adi-Mundi,Shaak Ti,General Skywalker,Rey,Supreme Leader Kylo Ren,Sith Eternal Emperor,Jedi Master Luke Skywalker,Jedi Master Kenobi,Lord Vader,Jabba the Hutt,Jedi Knight Luke,The Negotiator,Malevolence,Raddus,Finalizer
"TheEmpress",BRG Ahsokas Legion,842227845,7597304,4506872,3090432,145,81,204,442,2515488,1982987,168,2,426,3,248,64,96,155,173,1,1,1,1,1,1,0,1,1,1,1,0,1,0,0,0,1,1,1,1,1
"Corgibuttz",BRG Ahsokas Legion,335132241,3074767,1913422,1161345,164,68,66,346,1062503,848164,39,2,122,0,97,18,30,52,67,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
"llandro",BRG Ahsokas Legion,478895559,5409759,2900877,2508882,115,67,366,414,1611812,1288389,81,8,376,2,204,59,70,79,93,1,0,0,1,1,1,0,1,1,0,1,0,1,0,0,0,1,1,1,0,1
"MiniTwodamax",BRG Ahsokas Legion,849554491,4966777,2672300,2294477,116,-163,312,345,1331620,1340680,75,5,258,2,181,38,50,70,95,1,1,1,1,1,1,0,1,1,0,1,0,0,1,0,0,0,1,1,0,1
"Folos",BRG Ahsokas Legion,398344769,6298536,3616659,2681877,134,51,153,373,1994957,1621026,94,7,365,2,244,55,70,92,108,1,1,1,1,1,1,0,1,1,0,0,0,1,0,0,1,1,1,1,0,1
"The Frozen One",BRG Ahsokas Legion,429155696,6022555,3379743,2642812,127,-180,224,307,1664891,1705519,98,7,276,2,203,35,56,74,100,1,1,1,1,1,1,0,1,1,0,0,1,0,1,0,0,0,1,1,0,1
"Pkunk",BRG Ahsokas Legion,925263588,4929132,2828086,2101046,134,-4,113,153,1517914,1304355,53,3,63,0,223,5,17,46,76,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0
"3CPO ConfusingHumanRelations",BRG Ahsokas Legion,642448877,4796761,2633487,2163274,121,120,423,429,1483390,1123084,85,6,316,2,164,46,67,76,89,1,0,0,1,1,1,0,1,1,0,1,0,1,0,0,0,1,1,1,0,1
"zohaib24",BRG Ahsokas Legion,513357243,3964556,2222214,1742342,127,-424,198,303,963184,1259030,59,4,171,1,142,23,36,50,81,1,1,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0
"Hatton",BRG Ahsokas Legion,755731115,4235752,2402526,1833226,131,-296,130,268,1117731,1284795,63,1,163,1,199,21,33,48,72,1,1,0,1,1,1,0,1,1,0,0,1,0,0,0,0,0,1,1,0,1
